"runId";"test name";"dim";"algo";"running time (s)";"comparsions count"
"16";"square";"1000";"my";"0,002654";"56289"
"16";"square";"1000";"ENLU";"0,014827";"207263"
"16";"square";"1000";"NSGA2";"0,022029";"999000"
"16";"parallel fronts";"1000";"my";"0,001121";"33972"
"16";"parallel fronts";"1000";"ENLU";"0,001812";"72651"
"16";"parallel fronts";"1000";"NSGA2";"0,018458";"999000"
"16";"circle fronts";"1000";"my";"0,004013";"102302"
"16";"circle fronts";"1000";"ENLU";"0,053478";"426201"
"16";"circle fronts";"1000";"NSGA2";"0,022777";"999000"
"16";"stripe";"1000";"my";"0,004077";"98300"
"16";"stripe";"1000";"ENLU";"0,041648";"260986"
"16";"stripe";"1000";"NSGA2";"0,021642";"999000"
"16";"diag";"1000";"my";"0,000411";"16973"
"16";"diag";"1000";"ENLU";"0,000398";"999"
"16";"diag";"1000";"NSGA2";"0,023397";"999000"
"17";"square";"1000";"my";"0,002208";"57086"
"17";"square";"1000";"ENLU";"0,013067";"202058"
"17";"square";"1000";"NSGA2";"0,022128";"999000"
"17";"parallel fronts";"1000";"my";"0,000981";"34872"
"17";"parallel fronts";"1000";"ENLU";"0,002443";"72451"
"17";"parallel fronts";"1000";"NSGA2";"0,020438";"999000"
"17";"circle fronts";"1000";"my";"0,004677";"100826"
"17";"circle fronts";"1000";"ENLU";"0,050349";"413045"
"17";"circle fronts";"1000";"NSGA2";"0,023073";"999000"
"17";"stripe";"1000";"my";"0,003978";"93318"
"17";"stripe";"1000";"ENLU";"0,043955";"262880"
"17";"stripe";"1000";"NSGA2";"0,022161";"999000"
"17";"diag";"1000";"my";"0,000357";"16973"
"17";"diag";"1000";"ENLU";"0,000387";"999"
"17";"diag";"1000";"NSGA2";"0,018089";"999000"
"18";"square";"1000";"my";"0,002724";"57803"
"18";"square";"1000";"ENLU";"0,012714";"191301"
"18";"square";"1000";"NSGA2";"0,022529";"999000"
"18";"parallel fronts";"1000";"my";"0,00138";"34762"
